Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,latitude,longitude
Palestine,1992,All ages,Both,Liver cancer,"Deaths per 100,000",3.296343199,2.448884098,4.264828861,31.952162,35.233154
Palestine,1993,All ages,Both,Liver cancer,"Deaths per 100,000",3.230817773,2.429987693,4.147470484,31.952162,35.233154
Palestine,1994,All ages,Both,Liver cancer,"Deaths per 100,000",3.16680561,2.409198587,4.022935613,31.952162,35.233154
Palestine,1995,All ages,Both,Liver cancer,"Deaths per 100,000",3.11181764,2.389467667,3.907560788,31.952162,35.233154
Palestine,1996,All ages,Both,Liver cancer,"Deaths per 100,000",3.069540174,2.421818725,3.789287129,31.952162,35.233154
Palestine,1997,All ages,Both,Liver cancer,"Deaths per 100,000",2.976632238,2.337545917,3.649307389,31.952162,35.233154
Palestine,1998,All ages,Both,Liver cancer,"Deaths per 100,000",2.928156664,2.369160012,3.50961087,31.952162,35.233154
Palestine,1999,All ages,Both,Liver cancer,"Deaths per 100,000",2.871594862,2.389276868,3.377122138,31.952162,35.233154
Palestine,2000,All ages,Both,Liver cancer,"Deaths per 100,000",2.829039143,2.402266217,3.253904609,31.952162,35.233154
Palestine,2001,All ages,Both,Liver cancer,"Deaths per 100,000",2.812521831,2.424433611,3.247615009,31.952162,35.233154
Palestine,2002,All ages,Both,Liver cancer,"Deaths per 100,000",2.768320338,2.404193932,3.184784346,31.952162,35.233154
Palestine,2003,All ages,Both,Liver cancer,"Deaths per 100,000",2.725647796,2.381873046,3.13856754,31.952162,35.233154
Palestine,2004,All ages,Both,Liver cancer,"Deaths per 100,000",2.708415004,2.375074106,3.126924194,31.952162,35.233154
Palestine,2005,All ages,Both,Liver cancer,"Deaths per 100,000",2.698644994,2.365582065,3.114079496,31.952162,35.233154
Palestine,2006,All ages,Both,Liver cancer,"Deaths per 100,000",2.698313952,2.362395364,3.11475684,31.952162,35.233154
Palestine,2007,All ages,Both,Liver cancer,"Deaths per 100,000",2.626235792,2.297532885,3.012304335,31.952162,35.233154
Palestine,2008,All ages,Both,Liver cancer,"Deaths per 100,000",2.536475224,2.252923651,2.852465213,31.952162,35.233154
